p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.0, 2, 0.53125, 0.015353650185582879, 0.5, 0.00011565838181226695 
0.02, 2, 0.46142578125, 0.021126343382682933, 0.48750000000000004, 0.0001442203602479708 
0.04, 2, 0.40234375000000006, 0.019523699037144127, 0.47395833333333337, 0.0002489476145104419 
0.06, 2, 0.35791015625, 0.023908139035479614, 0.446875, 0.00020769142343723956 
0.08, 2, 0.35107421875000006, 0.027054540684599004, 0.43437500000000007, 0.00013011567953835623 
0.1, 2, 0.35107421875000006, 0.014683677851913046, 0.43437500000000007, 0.00011107436058210851 
0.12, 2, 0.34375, 0.014498553917611012, 0.4218750000000001, 0.00011319006268895038 
0.14, 2, 0.31298828125, 0.01573800273489745, 0.39583333333333337, 0.00012729474339767677 
0.16, 2, 0.293212890625, 0.01534377690908606, 0.39017857142857143, 0.00013611016883974258 
0.18, 2, 0.278564453125, 0.015825451755292264, 0.3517857142857144, 0.00015092008358408293 
0.2, 2, 0.26586914062500006, 0.023132381596494334, 0.33854166666666674, 0.0003166500819133944 
0.22, 2, 0.2568359375, 0.03929564045476308, 0.3289682539682541, 0.00048484839936513424 
0.24, 2, 0.24707031250000003, 0.044372972892919194, 0.33648313492063503, 0.00044606052741702484 
0.26, 2, 0.23144531250000003, 0.03797332663831199, 0.2999503968253968, 0.00047920652708199896 
0.28, 2, 0.229248046875, 0.04539803056343228, 0.31785714285714284, 0.0005028318672692933 
0.3, 2, 0.222412109375, 0.02746110810603053, 0.33205266955266954, 0.0003684847835181415 
0.32, 2, 0.216064453125, 0.0250527338750004, 0.3289073773448773, 0.0003896418045812311 
0.34, 2, 0.20971679687500003, 0.024736083793087893, 0.33218205405705403, 0.0004996583141103628 
0.36, 2, 0.20458984375, 0.02633238103230795, 0.3486988705738706, 0.0005395040371123372 
0.38, 2, 0.20068359375, 0.023851367695626458, 0.3737321706071707, 0.000717223014042645 
0.4, 2, 0.196533203125, 0.021802662822671515, 0.4047579156954157, 0.0006230742703117187 
0.42, 2, 0.19287109375, 0.018857252873652364, 0.4332504250243221, 0.0007429640563367812 
0.44, 2, 0.190185546875, 0.019163677062051576, 0.46285263449785513, 0.000797619694083096 
0.46, 2, 0.18603515625000003, 0.019877373905917928, 0.4837322837443773, 0.0009139833099309769 
0.48, 2, 0.182861328125, 0.019456349186759425, 0.5074388255793054, 0.001074424052994516 
0.5, 2, 0.17822265625, 0.01926769908227932, 0.535497958998346, 0.001213707774993189 
