p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.0, 21, 0.08203125, 0.2189247437708417, 0.7317073170731712, 0.032702407457435356 
0.02, 21, 0.082000732421875, 0.30652856303628084, 0.7318043851119572, 0.021896106332363274 
0.04, 21, 0.0819091796875, 0.24479308080782403, 0.7320922129487075, 0.025741747527632697 
0.06, 21, 0.08175659179687501, 0.2622081300790029, 0.7325454784863461, 0.02291129072638398 
0.08, 21, 0.08148193359375, 0.22053091428657012, 0.7335858995104596, 0.018063511966758483 
0.1, 21, 0.081298828125, 0.18687432517917557, 0.7343883383062055, 0.01790271860667758 
0.12, 21, 0.08120727539062501, 0.16820924858019737, 0.734850910187155, 0.016560658237239068 
0.14, 21, 0.08102416992187501, 0.15614763087204153, 0.7356369903187875, 0.016301132112204186 
0.16, 21, 0.0806884765625, 0.1562950247854502, 0.7375360638596558, 0.01591748479691546 
0.18, 21, 0.08038330078125, 0.1514324361110937, 0.7390818673451646, 0.016505649982477166 
0.2, 21, 0.08001708984375001, 0.15270644139611989, 0.7409450678430095, 0.016461572855263285 
0.22, 21, 0.07952880859375001, 0.17778139014322392, 0.7445317676355157, 0.016849804191764406 
0.24, 21, 0.079193115234375, 0.16458293516996036, 0.7470497247495833, 0.017232746273009525 
0.26, 21, 0.07879638671875, 0.1566663305051179, 0.7513100368016256, 0.01738296112256421 
0.28, 21, 0.078369140625, 0.15441028682572266, 0.754681271312234, 0.017876272330354936 
0.3, 21, 0.07791137695312501, 0.15542370813466277, 0.7586334753331299, 0.01824475711387663 
0.32, 21, 0.07742309570312501, 0.15530734451881756, 0.7639831130497683, 0.01872537410902453 
0.34, 21, 0.076507568359375, 0.16157863817896612, 0.7746519449391506, 0.04985828322058694 
0.36, 21, 0.075592041015625, 0.16313015305694023, 0.7853365027835343, 0.021642574696628003 
0.38, 21, 0.074920654296875, 0.16523492403571538, 0.794666595121187, 0.020955324129090513 
0.4, 21, 0.0740966796875, 0.1591699113309346, 0.8054677920807672, 0.02178608982283947 
0.42, 21, 0.072998046875, 0.15589586232138686, 0.8208739538232364, 0.022663048345918924 
0.44, 21, 0.072113037109375, 0.16238084189429003, 0.8328576056800812, 0.023443037189110782 
0.46, 21, 0.07116699218750001, 0.1675357500763397, 0.84684131264863, 0.02702879964230931 
0.48, 21, 0.070343017578125, 0.1569872119912361, 0.8594349464903285, 0.025726584995865664 
0.5, 21, 0.06915283203125, 0.15739131109354787, 0.877970975445189, 0.026626463625078145 
