p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.0, 37, 0.0439453125, 1.446872957025107, 0.7397260273972582, 0.10946431127899814 
0.02, 37, 0.043941497802734375, 1.353208003841928, 0.7396308851659876, 0.11341291664325581 
0.04, 37, 0.0439300537109375, 1.3326796989215381, 0.7394130260397379, 0.10944209640683766 
0.06, 37, 0.043914794921875, 1.431612750349359, 0.738937700543008, 0.10970761702128584 
0.08, 37, 0.04388427734375, 1.4430787979142679, 0.7382452375094998, 0.11049501082175084 
0.1, 37, 0.04383087158203126, 1.275789174516376, 0.7368934716069944, 0.10277269813354906 
0.12, 37, 0.0437774658203125, 1.3064862489941333, 0.7356217539347719, 0.10918257028197331 
0.14, 37, 0.043704986572265625, 1.3616507130975606, 0.7339321104554074, 0.11343583674965885 
0.16, 37, 0.043628692626953125, 1.4795884113123066, 0.7324482797644297, 0.11856077248535257 
0.18, 37, 0.04354095458984375, 1.4373977851421387, 0.7313838418874451, 0.12023958210647834 
0.2, 37, 0.0434417724609375, 1.420252840506464, 0.7299788558961675, 0.11394466310616735 
0.22, 37, 0.043338775634765625, 1.3431369091988472, 0.7288045917963627, 0.11451413958980083 
0.24, 37, 0.043239593505859375, 1.387850157513867, 0.7274026728465873, 0.11174010151125913 
0.26, 37, 0.043121337890625, 1.4578883600418067, 0.7261509600923516, 0.11137725860021419 
0.28, 37, 0.0429840087890625, 1.3064636815049653, 0.7249937972337585, 0.11595034870288146 
0.3, 37, 0.04282379150390625, 1.3213455301208796, 0.7240109728706472, 0.11582552227855558 
0.32, 37, 0.042667388916015625, 1.367819747822523, 0.723388814501626, 0.12280980754871962 
0.34, 37, 0.042499542236328125, 1.5202624316891615, 0.7230858645517303, 0.1378954688009344 
0.36, 37, 0.042301177978515625, 1.5009160990121018, 0.7231931023761564, 0.18363236431832775 
0.38, 37, 0.04210662841796875, 1.4053713445075573, 0.7237611816226528, 0.12352068345626321 
0.4, 37, 0.04192352294921876, 1.3823454532503092, 0.724041606893998, 0.11959640866621157 
0.42, 37, 0.041728973388671875, 1.4596257040880118, 0.7248781458772441, 0.12187607768555608 
0.44, 37, 0.04151153564453125, 1.364221291156582, 0.7263021424638696, 0.12739664971513776 
0.46, 37, 0.0412750244140625, 1.3999784198383622, 0.7281812234447983, 0.14031089537206753 
0.48, 37, 0.04102325439453125, 1.5706002740539589, 0.7307796259224499, 0.14503561079254723 
0.5, 37, 0.04076385498046875, 1.5981312003293624, 0.7342189036376898, 0.13174371230979887 
