p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.0, 22, 0.080078125, 0.20094903344148918, 0.7389006342494705, 0.03506987811439899 
0.02, 22, 0.07995605468750001, 0.18168697623150365, 0.7398333690800828, 0.056862315043559875 
0.04, 22, 0.07989501953125001, 0.23148531455906607, 0.7402665750017867, 0.021884469970785858 
0.06, 22, 0.07971191406250001, 0.16591053824166124, 0.7416304571243272, 0.017917881138444613 
0.08, 22, 0.079559326171875, 0.18045810592474254, 0.7428735343832661, 0.03930480849722073 
0.1, 22, 0.07934570312500001, 0.15887829705727086, 0.744750117181974, 0.017153760061049184 
0.12, 22, 0.079132080078125, 0.1527790805017588, 0.7468876338963816, 0.023306927020271928 
0.14, 22, 0.078765869140625, 0.1923176740817354, 0.750125355362072, 0.021448282719859435 
0.16, 22, 0.078399658203125, 0.15504323437254186, 0.7536058623202947, 0.017705253076769623 
0.18, 22, 0.078125, 0.1537812180661149, 0.7562260228104696, 0.01816294996577028 
0.2, 22, 0.07769775390625, 0.17618791384015253, 0.7605781194190049, 0.02157240391009907 
0.22, 22, 0.0772705078125, 0.16324193265155884, 0.7650161708469418, 0.01915662472168833 
0.24, 22, 0.076904296875, 0.17663573745264216, 0.7691471345018301, 0.022460646177734134 
0.26, 22, 0.07647705078125, 0.1699402455201806, 0.7745278172882495, 0.01921551176364744 
0.28, 22, 0.076019287109375, 0.19324047281710932, 0.7800789239959831, 0.02026066860418041 
0.3, 22, 0.07543945312500001, 0.16074716725118776, 0.7877504358494077, 0.02013302124376537 
0.32, 22, 0.074920654296875, 0.16856010251282783, 0.7941176804681432, 0.024796028686111526 
0.34, 22, 0.07406616210937501, 0.17251152881338783, 0.8061054565687155, 0.02255585277252692 
0.36, 22, 0.07330322265625, 0.1754770379324242, 0.8162237551543877, 0.04632012406476349 
0.38, 22, 0.07269287109375, 0.20958180326933018, 0.8252781823896407, 0.025631731018094683 
0.4, 22, 0.07202148437500001, 0.21853827551942118, 0.8353594791613559, 0.023240987637947796 
0.42, 22, 0.07122802734375001, 0.1683435956639272, 0.8475247538329893, 0.02535598451022736 
0.44, 22, 0.07037353515625, 0.15629890357264742, 0.8604310135896187, 0.02589372546226798 
0.46, 22, 0.06988525390625, 0.1850252015382523, 0.8672615322577578, 0.03297215947598886 
0.48, 22, 0.0689697265625, 0.15893577363115696, 0.8820598751197113, 0.026043940311808456 
0.5, 22, 0.068084716796875, 0.16612210845229924, 0.8951440492174421, 0.03884288020401527 
