p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.0, 31, 0.0625, 0.3706382156450445, 0.9836065573770498, 0.057971648181307955 
0.02, 31, 0.06240844726562501, 0.2620646149527772, 0.985189084888318, 0.0491452916107562 
0.04, 31, 0.0623779296875, 0.2107623650446726, 0.9857144955637805, 0.04240678040210355 
0.06, 31, 0.06234741210937501, 0.20099416841975426, 0.986238856991766, 0.049864630326908355 
0.08, 31, 0.0621337890625, 0.19745600926395923, 0.9898800080582213, 0.04000052187316783 
0.1, 31, 0.06204223632812501, 0.1793604091485861, 0.9914247626602195, 0.04149773373043786 
0.12, 31, 0.06192016601562501, 0.23309501124495569, 0.9934697459981714, 0.03913696279678902 
0.14, 31, 0.06179809570312501, 0.17367128618468541, 0.9954979413764452, 0.038668687397233725 
0.16, 31, 0.061767578125, 0.17186765013903482, 0.9960023671023138, 0.038284334847958235 
0.18, 31, 0.0616455078125, 0.1729216224049992, 0.9980095775309961, 0.03847474803751538 
0.2, 31, 0.06158447265625, 0.16509564031372292, 0.9990068872604579, 0.039191265817521526 
0.22, 31, 0.06155395507812501, 0.19163289183333632, 0.9995039682539689, 0.04062747493068741 
0.24, 31, 0.06155395507812501, 0.1784051696475899, 0.9995039682539689, 0.04122762909486255 
0.26, 31, 0.0615234375, 0.1750521344260676, 1.0, 0.039475475133798454 
0.28, 31, 0.0615234375, 0.17267620096066594, 1.0, 0.038911993139493006 
0.3, 31, 0.0615234375, 0.17007952924217307, 1.0, 0.038735332013629886 
0.32, 31, 0.0615234375, 0.1764929275604743, 1.0, 0.03855937612178195 
0.34, 31, 0.0615234375, 0.20344344622483845, 1.0, 0.03860098492987163 
0.36, 31, 0.0615234375, 0.16990004718013552, 1.0, 0.03750751955791998 
0.38, 31, 0.0615234375, 0.16721028456896647, 1.0, 0.037520566387541976 
0.4, 31, 0.0615234375, 0.1648720811244857, 1.0, 0.03742606502680701 
0.42, 31, 0.0615234375, 0.16758194290565598, 1.0, 0.03924133743402081 
0.44, 31, 0.0615234375, 0.17102877425386964, 1.0, 0.03787071508617146 
0.46, 31, 0.0615234375, 0.19916549656585403, 1.0, 0.0385392769517523 
0.48, 31, 0.0615234375, 0.1671087308678807, 1.0, 0.03754701266390725 
0.5, 31, 0.0615234375, 0.1720101074141951, 1.0, 0.041575309474325195 
