p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.001, 3, 0.34375, 0.8488500101201097, 0.5999999999999999, 0.0007239227373787571 
0.021, 3, 0.21635818481445312, 0.8240377610511942, 0.5915178571428572, 0.0007366169500144792 
0.041, 3, 0.1433258056640625, 0.7871614259550128, 0.5833147321428572, 0.0007641210774025353 
0.061, 3, 0.12982559204101562, 0.7947977000907613, 0.5762198851872767, 0.0008297078426977578 
0.081, 3, 0.1108856201171875, 0.7854015144195685, 0.575059682964095, 0.000864969544466021 
0.101, 3, 0.10099411010742188, 0.7716159521117874, 0.5735280284153832, 0.0009591182882005 
0.121, 3, 0.088653564453125, 0.7764838300414212, 0.5775120755269323, 0.0012020714134095556 
0.141, 3, 0.0809478759765625, 0.7802314437057518, 0.599249069759355, 0.0014894542828471913 
0.161, 3, 0.07446670532226562, 0.7729809325873802, 0.6249943826192115, 0.0017747214501895314 
0.181, 3, 0.06664657592773439, 0.7736262217298133, 0.6650234777187899, 0.0021238122977251805 
0.201, 3, 0.060085296630859375, 0.7810029697405199, 0.7099673087739021, 0.00259808218655877 
0.221, 3, 0.060085296630859375, 0.7977935342733176, 0.7099673087739021, 0.002609718548150397 
0.241, 3, 0.060085296630859375, 0.8187862358062858, 0.7099673087739021, 0.0026104237821797938 
0.261, 3, 0.060085296630859375, 0.8087035048015849, 0.7099673087739021, 0.002609013314113895 
0.281, 3, 0.060085296630859375, 0.8243706315159258, 0.7099673087739021, 0.002680947185730531 
0.301, 3, 0.060085296630859375, 0.8373709157252378, 0.7099673087739021, 0.0026879995260813416 
0.321, 3, 0.060085296630859375, 0.8445851072907828, 0.7099673087739021, 0.002689057377132542 
0.341, 3, 0.060085296630859375, 0.8243011659634263, 0.7099673087739021, 0.002698225419592859 
0.361, 3, 0.060085296630859375, 0.8455756084935544, 0.7099673087739021, 0.0028071840780725665 
0.381, 3, 0.060085296630859375, 0.8448016141396621, 0.7099673087739021, 0.002687999526088447 
0.401, 3, 0.060085296630859375, 0.840830793903109, 0.7099673087739021, 0.002656616611503182 
0.421, 3, 0.060085296630859375, 0.8182587207477781, 0.7099673087739021, 0.002603724058850787 
0.441, 3, 0.060085296630859375, 0.8060676925941266, 0.7099673087739021, 0.002602313590777783 
0.461, 3, 0.060085296630859375, 0.8106788653348573, 0.7099673087739021, 0.002611834250252798 
0.481, 3, 0.060085296630859375, 0.8253879316120489, 0.7099673087739021, 0.002608308080077393 
0.501, 3, 0.060085296630859375, 0.8211300811230657, 0.7099673087739021, 0.002611834250252798 
