p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.0, 8, 0.15234375, 0.13578681903482703, 0.7000000000000005, 0.002160131850558855 
0.02, 8, 0.1463623046875, 0.22776273670298508, 0.6974264705882357, 0.00281106286526267 
0.04, 8, 0.1463623046875, 0.22221642363126648, 0.6974264705882357, 0.0021865781268815 
0.06, 8, 0.139404296875, 0.16686895129583235, 0.6928410947712421, 0.0023106993171211343 
0.08, 8, 0.135101318359375, 0.21197783590473307, 0.6853432985036121, 0.002740892078740842 
0.1, 8, 0.12924194335937503, 0.17605709292656968, 0.6710479284915721, 0.0038530461526349313 
0.12, 8, 0.12432861328125001, 0.176118448287653, 0.6549007514189888, 0.0030596578627566373 
0.14, 8, 0.11968994140625, 0.13982851529194562, 0.6350842255761958, 0.0025645835698782093 
0.16, 8, 0.11593627929687501, 0.1340099818825422, 0.61718323842695, 0.0025994926546317743 
0.18, 8, 0.11300659179687501, 0.13711759565970993, 0.5992039688682494, 0.0027525284403253636 
0.2, 8, 0.11035156250000001, 0.1810261719402888, 0.5808194537284614, 0.0029062694600483496 
0.22, 8, 0.10748291015625, 0.14101542417358814, 0.5574051419940419, 0.003029685416251482 
0.24, 8, 0.10687255859375001, 0.1422220796082314, 0.5510828557269762, 0.0031855421380839744 
0.26, 8, 0.105621337890625, 0.14262229992334596, 0.5353925462663917, 0.0032997900518267897 
0.28, 8, 0.104248046875, 0.14300841555774468, 0.5264303105807369, 0.003458820326819989 
0.3, 8, 0.102996826171875, 0.14979594053184542, 0.5142479296710604, 0.0036844952181596113 
0.32, 8, 0.102203369140625, 0.14664918626571222, 0.5049017969965616, 0.003906291322302025 
0.34, 8, 0.10113525390625, 0.18271520745516767, 0.49645700982505714, 0.005632351624043963 
0.36, 8, 0.10031127929687501, 0.15279177471439453, 0.4966661105561019, 0.004531128677712104 
0.38, 8, 0.0997314453125, 0.151438783217408, 0.49153955310141206, 0.004688748484625194 
0.4, 8, 0.09906005859375001, 0.15370575802432995, 0.49177725909580794, 0.00500010931127548 
0.42, 8, 0.09796142578125, 0.15631336087037084, 0.4878166175833967, 0.0054496960088741275 
0.44, 8, 0.09695434570312501, 0.15406542738239892, 0.4925307659269705, 0.005866841940836309 
0.46, 8, 0.09619140625, 0.1928610569060325, 0.494438137171556, 0.01250591515047006 
0.48, 8, 0.095367431640625, 0.21771068337883293, 0.49834593423622175, 0.006797398250597553 
0.5, 8, 0.094329833984375, 0.21121089389119163, 0.5074427325889922, 0.008306599086438382 
