p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.0, 1, 1.0, 0.00026587323136119335, 0.0, 1.1636361584773714e-05 
0.02, 1, 1.0, 0.0002665784653966342, 0.0, 9.87327649617164e-06 
0.04, 1, 1.0, 0.0002662258483789138, 0.0, 9.87327649617164e-06 
0.06, 1, 1.0, 0.000265520614343473, 0.0, 9.520659478451073e-06 
0.08, 1, 1.0, 0.00026516799732575255, 0.0, 9.52065947845129e-06 
0.1, 1, 0.7812500000000001, 0.00029619829488514897, 0.0, 1.3046829655655439e-05 
0.12, 1, 0.7812500000000001, 0.00029443520979654733, 0.0, 1.2341595620214522e-05 
0.14, 1, 0.75, 0.00029478782681426757, 0.10416666666666666, 1.4104680708816597e-05 
0.16, 1, 0.734375, 0.00029725614593831056, 0.16666666666666666, 1.6220382815138913e-05 
0.18, 1, 0.7031250000000001, 0.00029619829488514897, 0.20833333333333331, 1.798346790374142e-05 
0.2, 1, 0.7031250000000001, 0.00029478782681426714, 0.20833333333333331, 1.7630850886020746e-05 
0.22, 1, 0.6718750000000001, 0.00029972446506235356, 0.3625, 2.0804404045504654e-05 
0.24, 1, 0.65625, 0.00030466110331043867, 0.5458333333333333, 2.256748913410673e-05 
0.26, 1, 0.625, 0.0003050137203281589, 0.6958333333333333, 2.8209361417633194e-05 
0.28, 1, 0.578125, 0.0003191184010369764, 0.7172619047619047, 3.3145999665719177e-05 
0.3, 1, 0.5625000000000001, 0.00032193933717874004, 0.7964285714285714, 3.526170177204149e-05 
0.32, 1, 0.546875, 0.000328286443497707, 0.8166666666666667, 3.737740387836381e-05 
0.34, 1, 0.53125, 0.0003265233584091049, 0.7785714285714286, 3.9493105984686125e-05 
0.36, 1, 0.53125, 0.0003265233584091049, 0.7785714285714286, 3.9493105984686125e-05 
0.38, 1, 0.5, 0.0003279338264799859, 0.8440476190476189, 4.584021230365394e-05 
0.4, 1, 0.46875, 0.00036531123035835056, 0.9404761904761905, 5.2187318622621756e-05 
0.42, 1, 0.46875, 0.0003335756987635132, 0.9404761904761905, 5.1482084587180406e-05 
0.44, 1, 0.45312500000000006, 0.00035226440070269555, 0.9642857142857143, 5.606610581754615e-05 
0.46, 1, 0.4375, 0.0003522644007026947, 1.0, 5.9239658977030055e-05 
0.48, 1, 0.4375, 0.0003818842301912106, 1.0, 6.558676529599614e-05 
0.5, 1, 0.4375, 0.0003885839535278969, 1.0, 6.488153126055739e-05 
