p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.0, 5, 0.3125, 0.0027348975894394556, 0.6666666666666665, 0.0002722203376801513 
0.02, 5, 0.3125, 0.002821288758781071, 0.6666666666666665, 0.00036954263457111836 
0.04, 5, 0.310546875, 0.0041809799791108215, 0.6734848484848484, 0.00047603297392262434 
0.06, 5, 0.3046875, 0.005042775970419466, 0.695770202020202, 0.0004287822935478136 
0.08, 5, 0.30078125000000006, 0.0031968258826533535, 0.7049242424242425, 0.0004622809102314829 
0.1, 5, 0.291015625, 0.0029133218004060435, 0.7471542346542347, 0.0004245508893352401 
0.12, 5, 0.283203125, 0.005017034928126218, 0.7805853868353868, 0.0006428208233042465 
0.14, 5, 0.279296875, 0.005154908182054774, 0.8086066711066711, 0.0006315370787373098 
0.16, 5, 0.27734375, 0.0047666768455445485, 0.8233093295593297, 0.0006315370787370878 
0.18, 5, 0.275390625, 0.0038093216424335274, 0.830746336996337, 0.0006854874824484547 
0.2, 5, 0.2734375, 0.00444262180625965, 0.8372127872127872, 0.0006692670996333305 
0.22, 5, 0.265625, 0.003953894619699083, 0.8690871628371629, 0.0006526940998003994 
0.24, 5, 0.255859375, 0.003061068330830974, 0.9053987678987682, 0.0007993827791721309 
0.26, 5, 0.25, 0.002996892033605869, 0.9306318681318683, 0.0005465563774667004 
0.28, 5, 0.24218750000000003, 0.002880175800740181, 0.9659798534798535, 0.0005782919090615568 
0.3, 5, 0.24023437499999997, 0.0028766496305632216, 0.9754349816849818, 0.0010451568405234202 
0.32, 5, 0.236328125, 0.003433784518561467, 0.9916666666666667, 0.0008931789058859163 
0.34, 5, 0.236328125, 0.004573442719833842, 0.9916666666666667, 0.0010155370110347395 
0.36, 5, 0.234375, 0.00446095789118095, 1.0, 0.0005310412286867461 
0.38, 5, 0.234375, 0.002517685506523648, 1.0, 0.0005116472927122473 
0.4, 5, 0.234375, 0.002509222698098279, 1.0, 0.0005116472927122473 
0.42, 5, 0.234375, 0.002518038123541455, 1.0, 0.0005352726328995416 
0.44, 5, 0.234375, 0.0025046386768681206, 1.0, 0.0005098842076238785 
0.46, 5, 0.234375, 0.0025243852298604263, 1.0, 0.0005091789735882646 
0.48, 5, 0.234375, 0.0026284072500879496, 1.0, 0.0005652450794058073 
0.5, 5, 0.234375, 0.0025120436342400687, 1.0, 0.0005098842076236565 
0.0, 5, 0.25, 0.016430895174718074, 0.6666666666666667, 0.0004569916549659325 
0.02, 5, 0.25, 0.023428932508397615, 0.6666666666666667, 0.0008625012253444808 
0.04, 5, 0.244140625, 0.021949351502042802, 0.6590909090909092, 0.0005306886116693832 
0.06, 5, 0.23828125, 0.023042816873993566, 0.6512626262626264, 0.0006124957597801739 
0.08, 5, 0.226318359375, 0.018950343766330313, 0.628503787878788, 0.0004936638248089764 
0.1, 5, 0.22021484375, 0.016745429554524627, 0.6166666666666667, 0.0004986004630564977 
0.12, 5, 0.218505859375, 0.01905753933971699, 0.6135416666666668, 0.0005077685055177028 
0.14, 5, 0.214111328125, 0.023816458610872004, 0.6108318764568765, 0.0010306995427962207 
0.16, 5, 0.209228515625, 0.03525288634659862, 0.598168845043845, 0.0011646940095300096 
0.18, 5, 0.2041015625, 0.04195472538539313, 0.5806006493506494, 0.0015733771330683766 
0.2, 5, 0.199462890625, 0.048318052087175545, 0.5730663229744112, 0.0012930466039806632 
0.22, 5, 0.19580078125, 0.04377352396279477, 0.5633357502383237, 0.0011505893288221714 
0.24, 5, 0.19067382812500003, 0.040294604465965556, 0.5559975665674195, 0.001401300028421204 
0.26, 5, 0.1875, 0.023918012311975545, 0.5439935115946146, 0.0011643413925126467 
0.28, 5, 0.185546875, 0.02956693693585688, 0.5403142251947399, 0.0016276801537973284 
0.3, 5, 0.184326171875, 0.040086560425510065, 0.546404616625205, 0.0013466443906748893 
0.32, 5, 0.1826171875, 0.02786027057009033, 0.5413448479624948, 0.0015472834737577656 
0.34, 5, 0.1796875, 0.028185736077446677, 0.5576449726314278, 0.001401300028421204 
0.36, 5, 0.17724609375, 0.023379918742934436, 0.5699124552670413, 0.0011893772007702808 
0.38, 5, 0.17456054687500003, 0.019258883656836367, 0.5780969852515906, 0.001312087922937799 
0.4, 5, 0.172119140625, 0.020158409669040367, 0.595536100896008, 0.0013843744115700218 
0.42, 5, 0.16943359375, 0.019811081906586203, 0.6228382129907193, 0.0015761980692108324 
0.44, 5, 0.16650390625, 0.0209884701287546, 0.6458644911347159, 0.001783889492648072 
0.46, 5, 0.16235351562500003, 0.02056497709047278, 0.6704661417042374, 0.0018219721305614556 
0.48, 5, 0.157470703125, 0.024577758752131196, 0.7055938658621558, 0.0024704348261490594 
0.5, 5, 0.154052734375, 0.020578729154163256, 0.7283898426938371, 0.002225013381815799 
0.0, 10, 0.1640625, 0.025710011996030957, 0.7105263157894736, 0.001693266919092551 
0.02, 10, 0.1640625, 0.018382630367799635, 0.7105263157894736, 0.0016911512169865972 
0.04, 10, 0.1630859375, 0.025558034061393897, 0.7119987468671679, 0.0021865781268832762 
0.06, 10, 0.162841796875, 0.024723036963431255, 0.7122337092731831, 0.0022408811476140045 
0.08, 10, 0.162109375, 0.023579147357946084, 0.7130325814536339, 0.0018149197902079806 
0.1, 10, 0.16162109375, 0.018640040790735668, 0.7143540669856459, 0.0018226773645952932 
0.12, 10, 0.16040039062500003, 0.019094916743595647, 0.7190935589963048, 0.0018783908533972493 
0.14, 10, 0.15966796875, 0.03983091308766262, 0.7213702487443904, 0.005709927367945511 
0.16, 10, 0.15869140625, 0.0454540966692516, 0.7248177261335156, 0.002853729524410653 
0.18, 10, 0.157958984375, 0.03941306192166394, 0.7271492713998434, 0.0038632720461446723 
0.2, 10, 0.15625, 0.05036993051328942, 0.7348248400150573, 0.0053520210949606906 
0.22, 10, 0.1552734375, 0.03575289727772635, 0.7397357895727462, 0.00396588359830119 
0.24, 10, 0.152587890625, 0.028579256669221564, 0.7546803875472353, 0.0029404733107707415 
0.26, 10, 0.150146484375, 0.025925460993857286, 0.767799388111888, 0.0028420931628261314 
0.28, 10, 0.1474609375, 0.02626996782016988, 0.7868588426468862, 0.0031407597768353668 
0.3, 10, 0.14453125, 0.032958054795274805, 0.8075611063654541, 0.009112328971930594 
0.32, 10, 0.142333984375, 0.038566781079135026, 0.8268322661707218, 0.0036488808993695443 
0.34, 10, 0.14013671875, 0.019981748543163036, 0.8450274023549886, 0.0033004952858615155 
0.36, 10, 0.137451171875, 0.019796271991841863, 0.8674058052628144, 0.0031495752022774326 
0.38, 10, 0.134521484375, 0.01949125827151299, 0.8929771516694487, 0.003325883711140065 
0.4, 10, 0.1318359375, 0.020547698856605123, 0.9124315297646778, 0.003500781751927917 
0.42, 10, 0.12841796875, 0.01956812878137626, 0.9407327787103923, 0.0037176412178254736 
0.44, 10, 0.126220703125, 0.01973914803497223, 0.9580631367304056, 0.0038904235565091483 
0.46, 10, 0.123291015625, 0.019442597123067173, 0.9821274998381505, 0.0040825998311664335 
0.48, 10, 0.1220703125, 0.019559313355934194, 0.9921281582710952, 0.004366456530432217 
0.5, 10, 0.12109375, 0.019778641140955955, 1.0, 0.004382676913246897 
