p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.0, 1, 1.0, 0.845526947345121, 0.0, 0.00015409363675189525 
0.02, 1, 1.0, 0.8142970685536852, 0.0, 0.0001921762746519562 
0.04, 1, 0.40689849853515625, 0.9181099868897036, 0.0, 0.0001667878493663011 
0.06, 1, 0.2797698974609375, 0.9556700463832328, 0.0, 0.00018441870028595986 
0.08, 1, 0.22548675537109375, 0.9624889542719188, 0.0, 0.00019781814694397326 
0.1, 1, 0.19264602661132815, 1.158187520319558, 0.015104166666666667, 0.0002528264016916637 
0.12, 1, 0.163604736328125, 1.0837066959855974, 0.022395833333333337, 0.00023731125293124933 
0.14, 1, 0.14435195922851562, 1.0986650624943195, 0.020052083333333335, 0.00027504127382371735 
0.16, 1, 0.13280487060546878, 1.0127224219993423, 0.018489583333333334, 0.0004294875275832055 
0.18, 1, 0.11986160278320312, 1.0769262233518475, 0.02548363095238096, 0.0003663690814050824 
0.2, 1, 0.11203765869140625, 1.0783229393590545, 0.03385416666666667, 0.0004291349105756126 
0.22, 1, 0.10288619995117188, 1.070776935179822, 0.03535466269841272, 0.0005179943990469837 
0.24, 1, 0.09717178344726562, 1.1041919816300663, 0.02981150793650794, 0.0006170797810227668 
0.26, 1, 0.09305572509765625, 1.2365714624226882, 0.028831845238095243, 0.0009453662245277883 
0.28, 1, 0.08840179443359375, 1.114240156167, 0.03374143217893218, 0.0034905558584341634 
0.3, 1, 0.08380126953125, 1.2233536135134102, 0.038644255050505026, 0.0008766059060576481 
0.32, 1, 0.08116531372070312, 1.2766026619763693, 0.05378345612720609, 0.0010077794366338821 
0.34, 1, 0.0786590576171875, 1.249754754864199, 0.0554661484348984, 0.0015166057932276544 
0.36, 1, 0.07582855224609375, 1.3735741049345904, 0.06374120670995669, 0.0014221044324642662 
0.38, 1, 0.07404708862304688, 1.544724179442568, 0.06908052884615377, 0.0023240987638075694 
0.4, 1, 0.071685791015625, 2.095922054713469, 0.0775155833749583, 0.0019527930441540775 
0.42, 1, 0.06963729858398438, 1.708324370984144, 0.09254319771323442, 0.0024669086559754305 
0.44, 1, 0.06772613525390625, 1.6916381810885923, 0.09905516726458091, 0.0025638783358488126 
0.46, 1, 0.06586837768554688, 1.372486986668946, 0.11043253426731066, 0.0028932226304050346 
0.48, 1, 0.0638427734375, 1.539725127982365, 0.116907665227252, 0.012215006110835702 
0.5, 1, 0.06267166137695312, 1.383220296071329, 0.11953352039579773, 0.003677442877830117 
