p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.001, 21, 0.0625, 1.1464034122043358, 0.7317073170731722, 0.029209030662855184 
0.021, 21, 0.061534881591796875, 1.0638755149090002, 0.7294466341024508, 0.0302259781419707 
0.041, 21, 0.060882568359375, 1.091534793778976, 0.7279704802154116, 0.030463994628917135 
0.061, 21, 0.060230255126953125, 1.0632686610214819, 0.7270937102041807, 0.030273581439359987 
0.081, 21, 0.05933380126953126, 1.054655285129627, 0.7266082679119141, 0.032572644394917916 
0.101, 21, 0.058349609375, 1.0941392230718634, 0.726855829435912, 0.03129123415254753 
0.121, 21, 0.05593109130859375, 1.1549980993942768, 0.730218497006363, 0.03169744895694748 
0.141, 21, 0.0532073974609375, 1.0660790186527151, 0.736366654465745, 0.0319277078694995 
0.161, 21, 0.051433563232421875, 1.0957795974383089, 0.7410532445143174, 0.03234414856740386 
0.181, 21, 0.051433563232421875, 1.0763807248254693, 0.7410532445143174, 0.03093685404974167 
0.201, 21, 0.051433563232421875, 1.2013929782667674, 0.7410532445143174, 0.046352564830385745 
0.221, 21, 0.051433563232421875, 1.0657087707841697, 0.7410532445143174, 0.03053310756445171 
0.241, 21, 0.051433563232421875, 1.121387703116227, 0.7410532445143174, 0.030962947708985666 
0.261, 21, 0.051433563232421875, 0.9952611798988755, 0.7410532445143174, 0.03089136645439794 
0.281, 21, 0.051433563232421875, 1.027554551615708, 0.7410532445143174, 0.030855752135607872 
0.301, 21, 0.051433563232421875, 0.9859626691415997, 0.7410532445143174, 0.030350451949232138 
0.321, 21, 0.051433563232421875, 1.0093990066073388, 0.7410532445143174, 0.031069438048405118 
0.341, 21, 0.051433563232421875, 1.0560103923287443, 0.7410532445143174, 0.031003851283060158 
0.361, 21, 0.051433563232421875, 1.0298793556135593, 0.7410532445143174, 0.031790892466574405 
0.381, 21, 0.051433563232421875, 1.0914452290564896, 0.7410532445143174, 0.03602088621119037 
0.401, 21, 0.051433563232421875, 1.0937044462889958, 0.7410532445143174, 0.033234153920147946 
0.421, 21, 0.051433563232421875, 1.092640600746563, 0.7410532445143174, 0.03142205506605933 
0.441, 21, 0.051433563232421875, 1.0459301296431818, 0.7410532445143174, 0.031026418772171382 
0.461, 21, 0.051433563232421875, 1.0135031160766061, 0.7410532445143174, 0.030021812888719523 
0.481, 21, 0.051433563232421875, 0.9892480018956462, 0.7410532445143174, 0.030030275697129127 
0.501, 21, 0.051433563232421875, 1.055246976485364, 0.7410532445143174, 0.0343156303135288 
