p,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
0.0, 9, 0.140625, 0.2741082491930342, 0.705882352941176, 0.006290687596134603 
0.02, 9, 0.140625, 0.19522993803108335, 0.705882352941176, 0.004293817424780855 
0.04, 9, 0.138092041015625, 0.13595748567140475, 0.7038022445820431, 0.003088925075232396 
0.06, 9, 0.134918212890625, 0.1433367020012426, 0.7011093911248707, 0.0030476688841574173 
0.08, 9, 0.128387451171875, 0.14857835396965413, 0.6930050309597521, 0.0028375091415995257 
0.1, 9, 0.12182617187500001, 0.16795113292321417, 0.677423030615755, 0.004043811959220989 
0.12, 9, 0.12005615234375, 0.15854331089042972, 0.6702291881664946, 0.0030353272885363936 
0.14, 9, 0.11550903320312501, 0.14340264138355963, 0.6531587854440021, 0.003062126181880842 
0.16, 9, 0.112548828125, 0.144238343715557, 0.640461587346262, 0.003351977370449788 
0.18, 9, 0.109130859375, 0.16346831277694207, 0.6230421125786838, 0.003965883598297637 
0.2, 9, 0.107208251953125, 0.15290249645796194, 0.6104101957768754, 0.0034076908592481914 
0.22, 9, 0.105499267578125, 0.146903423135484, 0.5962502991887415, 0.003549442900379063 
0.24, 9, 0.10418701171875, 0.1434424871065616, 0.5826719611723062, 0.003695778962722329 
0.26, 9, 0.103546142578125, 0.15860043484730824, 0.5789110340689245, 0.003909817492484535 
0.28, 9, 0.102569580078125, 0.18116757136439077, 0.566248762718657, 0.004101288533107095 
0.3, 9, 0.101776123046875, 0.14695137904989508, 0.5585332625884434, 0.004206368404389593 
0.32, 9, 0.10092163085937501, 0.15083580811710107, 0.5477521202325166, 0.004556517102983548 
0.34, 9, 0.10000610351562501, 0.14947964306695383, 0.5407240160280581, 0.004927822822644146 
0.36, 9, 0.099090576171875, 0.15288662869216552, 0.5347033115203305, 0.005099194693258369 
0.38, 9, 0.098419189453125, 0.15210029274264514, 0.5351255634361148, 0.005367888860760672 
0.4, 9, 0.09750366210937501, 0.1540552014888874, 0.5343691984582217, 0.005885178025756943 
0.42, 9, 0.09664916992187501, 0.15210522938090065, 0.5313208324323686, 0.006100627023585048 
0.44, 9, 0.095794677734375, 0.1570284681823111, 0.5292382931389372, 0.006575954763469838 
0.46, 9, 0.095123291015625, 0.15826862223363491, 0.5283953442184577, 0.006865100718002282 
0.48, 9, 0.09429931640625001, 0.18888671049931105, 0.5336432262358262, 0.0073562962236835006 
0.5, 9, 0.093505859375, 0.1530414275629468, 0.5373409720718271, 0.007676119858757602 
