a p ford tiempo
0 0.0 5 0.009617269758877
1 0.0 5 0.006466991544272105
2 0.0 5 0.0073009302030300205
3 0.0 5 0.009346812697032192
4 0.0 5 0.009556619674611966
5 0.0 5 0.008357722659837918
6 0.0 5 0.005916556767772363
7 0.0 5 0.00654985648498041
8 0.0 5 0.005939829474527869
9 0.0 5 0.0059733280675970946
10 0.0 5 0.005789967347681113
11 0.0 5 0.005751532119859348
12 0.0 5 0.005772336509238585
13 0.0 5 0.005709570724320656
14 0.0 5 0.005692997736190364
15 0.0 5 0.00568171399959283
16 0.0 5 0.0056471575562113685
17 0.0 5 0.0056143641967025815
18 0.0 5 0.005616832514107273
19 0.0 5 0.005566055699318895
20 0.0 5 0.005703223622504083
21 0.0 5 0.005546661777060535
22 0.0 5 0.005509284399522585
23 0.0 5 0.0061725565421113515
24 0.0 5 0.005765636790641793
25 0.0 5 0.005453570950010089
26 0.0 5 0.0055128105672110905
27 0.0 5 0.005423245907877572
28 0.0 5 0.005572402801192311
29 0.0 5 0.0054408767463201
30 0.0 5 0.005358364422392015
31 0.0 5 0.006665867402006143
32 0.0 5 0.005309350691476311
33 0.0 5 0.005267036679214243
34 0.0 5 0.005337912649764576
35 0.0 5 0.005238122104145759
36 0.0 5 0.005233890702896815
37 0.0 5 0.005229659301676293
38 0.0 5 0.005169714450943275
39 0.0 5 0.005139036792030538
40 0.0 5 0.00531428732622885
41 0.0 4 0.004147478437488417
42 0.0 4 0.004105164425197927
43 0.0 4 0.004096349005948241
44 0.0 4 0.0041464205871761806
45 0.0 4 0.00401031051433165
46 0.0 4 0.00401771546648888
47 0.0 4 0.003987037807576144
48 0.0 4 0.003974696220666374
49 0.0 4 0.003941197627597148
50 0.0 4 0.00393590837606439
51 0.0 4 0.003906641184215687
52 0.0 4 0.0038879524954609224
53 0.0 4 0.003874553058267338
54 0.0 4 0.00386609025576945
55 0.0 4 0.0038283602615081236
56 0.0 4 0.003819897459038657
57 0.0 4 0.0038089663391929207
58 0.0 4 0.003784988398905398
59 0.0 4 0.0037613630753980942
60 0.0 4 0.0037476110213674474
61 0.0 4 0.0037479636381760884
62 0.0 4 0.003715522895390677
63 0.0 4 0.00369048710481934
64 0.0 4 0.0036802612185056205
65 0.0 3 0.003623842535461108
66 0.0 3 0.003593517493300169
67 0.0 3 0.0035794128225461463
68 0.0 3 0.0035709500201051014
69 0.0 3 0.0036442943080601253
70 0.0 3 0.003581881139922416
71 0.0 3 0.0035469720798175786
72 0.0 3 0.0034849115284600884
73 0.0 2 0.002593496336288581
74 0.0 2 0.0027197331396280333
75 0.0 2 0.0025603503600279964
76 0.0 2 0.00254941924018226
77 0.0 2 0.0025166258806450514
78 0.0 2 0.00250498952729572
79 0.0 2 0.0024880639223852086
80 0.0 2 0.002511689245892512
81 0.0 2 0.002472901401290528
82 0.0 2 0.002514157563268782
83 0.0 2 0.00242071411949496
84 0.0 2 0.0023773422568922342
84 0.0 2 0.002374168705955526
85 0.0 2 0.002362532352577773
86 0.0 2 0.0023942678618027458
87 0.0 2 0.002337496561978014
88 0.0 2 0.002321981424159958
89 0.0 2 0.0023106976875340024
90 0.0 2 0.0022972982503119965
91 0.0 2 0.0022810778789335018
92 0.0 2 0.002289188064622749
93 0.0 2 0.0033110714613258097
94 0.0 2 0.0032229172690563246
95 0.0 2 0.0021911606028481856
96 0.0 2 0.0021763506985337244
96 0.0 2 0.002178466399129775
97 0.0 2 0.002182697800378719
98 0.0 2 0.0021435573390249374
99 0.0 2 0.0021312157521151676
100 0.0 2 0.002118874165176976
101 0.0 2 0.00210547472795497
102 0.0 2 0.002090664823640509
103 0.0 2 0.0020733866019782
104 0.0 2 0.002063865949224919
105 0.0 2 0.002094543608109234
106 0.0 2 0.0020374196915327047
107 0.0 2 0.0020247254878427157
108 0.0 2 0.0020127365176847434
109 0.0 2 0.0019954582960224343
110 0.0 2 0.00198664287680117
111 0.0 2 0.0019774748407996867
112 0.0 2 0.002029662122595255
113 0.0 2 0.0019076567205047468
114 0.0 2 0.00188473663052946
115 0.0 1 0.0012510842965696156
116 0.0 1 0.0012408584102558962
117 0.0 1 0.001230985140722396
118 0.0 1 0.0011981917811851872
119 0.0 1 0.001183734493679367
120 0.0 1 0.0011745664576778836
121 0.0 1 0.0011678667390810915
122 0.0 1 0.0011579934695475913
123 0.0 1 0.0011530568347666303
124 0.0 1 0.0012179383202806093
125 0.0 1 0.0011350733795438828
126 0.0 1 0.0011223791758538937
126 0.0 1 0.0011192056249456073
127 0.0 1 0.0011125059063488152
128 0.0 1 0.0010804177803436232
129 0.0 1 0.0010691340437460894
130 0.0 1 0.0011036904870991293
131 0.0 1 0.0010306988159243247
132 0.0 1 0.0009746327496316098
133 0.0 1 0.0009682856477866153
134 0.0 1 0.0009591176117851319
135 0.0 1 0.0009488917254998341
136 0.0 1 0.000941134156590806
137 0.0 1 0.0009446603242793117
138 0.0 1 0.0009242085516518728
139 0.0 1 0.0009146878988985918
140 0.0 1 0.0008850680902980912
141 0.0 0 0.00042913460791282887
0 0.0 5 0.005962396947751358
1 0.0 5 0.006007179277418118
2 0.0 5 0.005914441067176313
3 0.0 5 0.005930661438554807
4 0.0 5 0.005870716587793368
5 0.0 5 0.005843212479817339
6 0.0 5 0.005852027899038603
7 0.0 4 0.004645020698632152
8 0.0 4 0.0046270372433809825
9 0.0 4 0.005124932121276515
10 0.0 4 0.0045953017341844316
11 0.0 4 0.004579081362777515
12 0.0 4 0.004646078548915966
13 0.0 4 0.0045494615541770145
14 0.0 4 0.004531478098954267
15 0.0 4 0.004509263242510997
16 0.0 4 0.004557924356674903
17 0.0 4 0.004480701284222732
18 0.0 4 0.004465186146376254
19 0.0 4 0.0044598968948719175
20 0.0 4 0.004427456152086506
21 0.0 4 0.004408414846579944
22 0.0 4 0.004353054013847668
23 0.0 4 0.004478585583626682
24 0.0 4 0.004226464593756418
25 0.0 4 0.0042007235696246426
26 0.0 3 0.0031432258792278844
27 0.0 3 0.0031647355021675594
28 0.0 3 0.0031199531725008
29 0.0 3 0.003104085417874103
30 0.0 3 0.003093506914808586
31 0.0 3 0.0030801074776150017
32 0.0 3 0.003106201118498575
33 0.0 3 0.003056129537299057
34 0.0 3 0.003046256267765557
35 0.0 3 0.003031093746699298
36 0.0 3 0.003018399543009309
37 0.0 3 0.0030536612199227875
