a p ford tiempo
0 0.0 5 0.01247699175581829
1 0.0 5 0.01628666332857165
2 0.0 5 0.010827803126971958
3 0.0 5 0.012388484946825429
4 0.0 5 0.009600696770746708
5 0.0 5 0.009545335938014432
6 0.0 5 0.010641268856204533
7 0.0 5 0.010137732109967601
8 0.0 5 0.009509721644349156
9 0.0 5 0.009654294519634732
10 0.0 5 0.009400763062728856
11 0.0 5 0.009410283715453716
12 0.0 5 0.009355275499444815
13 0.0 5 0.009343639146095484
14 0.0 5 0.009318250738715506
15 0.0 5 0.009293567564895966
16 0.0 5 0.009510426877852751
17 0.0 5 0.009281578594766415
18 0.0 5 0.009232917480630931
19 0.0 5 0.009389831942826277
20 0.0 5 0.009138063569764654
21 0.0 5 0.0091165539468534
22 0.0 5 0.009097865258070215
23 0.0 5 0.00949596959031851
24 0.0 5 0.009746327496372942
25 0.0 5 0.009105975443787884
26 0.0 5 0.009162041510080599
27 0.0 5 0.009033336389336455
28 0.0 5 0.008968454903822476
29 0.0 4 0.009112322545604457
30 0.0 4 0.008811187824846911
31 0.0 4 0.008900047250676835
32 0.0 4 0.008806603806874591
33 0.0 4 0.00874736418967359
34 0.0 4 0.008737138303388292
35 0.0 4 0.008671551584313875
36 0.0 4 0.008689887656316841
37 0.0 4 0.008625711404363301
38 0.0 4 0.010711792209974647
39 0.0 4 0.008576697673447597
40 0.0 4 0.01029006255424747
41 0.0 4 0.01180984082878922
42 0.0 4 0.008497006283619157
43 0.0 4 0.013433641050255574
44 0.0 4 0.008465270774422606
45 0.0 4 0.006790693738196296
46 0.0 4 0.008457513205485157
47 0.0 4 0.00837782181571356
48 0.0 4 0.006762484396688251
49 0.0 4 0.0070957072434225665
50 0.0 4 0.006751200660062295
51 0.0 4 0.006703950013047688
52 0.0 4 0.006666925252318379
53 0.0 4 0.0066224955394318386
54 0.0 4 0.00660944871896163
55 0.0 4 0.007060092949757291
56 0.0 4 0.006565019006018247
57 0.0 4 0.0070036742667412
58 0.0 4 0.0065269363949482795
59 0.0 4 0.006591465263682039
60 0.0 4 0.006503311071469398
61 0.0 4 0.006456413041178166
62 0.0 4 0.006493790418687695
63 0.0 4 0.00641339379535566
64 0.0 4 0.006406694076758868
65 0.0 4 0.0063728428669378445
66 0.0 4 0.0063495701601823384
67 0.0 4 0.006356622495502506
68 0.0 4 0.006312898016176405
69 0.0 4 0.006527994245288937
70 0.0 4 0.006274110171545999
71 0.0 4 0.006246253446818173
72 0.0 4 0.006280104656639196
73 0.0 4 0.006220865039438195
74 0.0 4 0.006488853783935156
75 0.0 4 0.00623214877606415
76 0.0 4 0.006143641967071289
77 0.0 4 0.00613588439813384
78 0.0 4 0.006099917487688344
79 0.0 4 0.006447597621956902
80 0.0 4 0.006062540110178816
81 0.0 4 0.006037856936302433
82 0.0 4 0.006046319738800321
83 0.0 4 0.005992016756351859
84 0.0 4 0.005988843205386729
85 0.0 4 0.0059514658278772
86 0.0 4 0.005926430037334285
87 0.0 4 0.00591479368392811
88 0.0 4 0.005883058174731559
89 0.0 4 0.01045261888469895
90 0.0 4 0.005851322665478165
91 0.0 4 0.005924314336709813
92 0.0 4 0.006892599984496428
93 0.0 4 0.006014231612823551
94 0.0 4 0.0058047772519671526
95 0.0 4 0.005733548664636601
96 0.0 4 0.005750121652795315
97 0.0 4 0.0059602812470984645
98 0.0 4 0.006930329978786176
99 0.0 4 0.006711707581985138
100 0.0 4 0.005630231951329279
101 0.0 3 0.004201781419908457
102 0.0 3 0.004215180857102041
103 0.0 3 0.004177803479592512
104 0.0 3 0.00415911479086617
105 0.0 3 0.0041510046051485006
106 0.0 3 0.0041569990902416976
107 0.0 3 0.004227169827288435
108 0.0 2 0.0027380692116025784
109 0.0 2 0.002724317157628775
110 0.0 2 0.0028114134996144458
111 0.0 2 0.0027063337024060274
112 0.0 2 0.0026922290316520048
113 0.0 2 0.002677771744117763
114 0.0 2 0.002675303426769915
115 0.0 2 0.002654499037362257
116 0.0 2 0.0027500581817889724
117 0.0 2 0.0026358103485790707
118 0.0 2 0.0026206478275412337
119 0.0 2 0.0026139481089444416
120 0.0 2 0.002608306240631464
121 0.0 2 0.00259173325247275
122 0.0 2 0.002616769043072509
123 0.0 2 0.00253178840171131
124 0.0 2 0.0025236782160504845
124 0.0 2 0.002521209898645793
125 0.0 2 0.002510278778800057
126 0.0 2 0.002499347659011164
127 0.0 2 0.0025804495158467944
128 0.0 2 0.0024788958863268817
129 0.0 2 0.0024686700000984274
130 0.0 2 0.0024669069162541746
131 0.0 2 0.0024919427068539335
132 0.0 2 0.0024383449579090666
133 0.0 2 0.0024619702815016353
134 0.0 2 0.0024168353349978133
135 0.0 1 0.001216880469996795
136 0.0 1 0.0012055967333708395
137 0.0 1 0.0011978391644333897
138 0.0 1 0.0011886711284319063
139 0.0 1 0.0011851449607434006
140 0.0 1 0.0011809135595512998
141 0.0 1 0.0011749190744581028
142 0.0 1 0.0011668088887404338
143 0.0 1 0.001162577487548333
144 0.0 1 0.0012031284160229916
145 0.0 1 0.0011579934695191696
146 0.0 1 0.0011502359006385632
147 0.0 1 0.0011417730981406748
148 0.0 1 0.0011385995472323884
149 0.0 1 0.0012524947636052275
150 0.0 1 0.00112872627772731
151 0.0 1 0.0011216739422934552
152 0.0 1 0.0011181477746049495
153 0.0 1 0.001107569271596276
154 0.0 1 0.0011019274032832982
155 0.0 1 0.0010959329181901012
156 0.0 1 0.0010888805828130899
157 0.0 1 0.0010832387145001121
158 0.0 1 0.0011174425411013544
159 0.0 1 0.0010733654449381902
160 0.0 1 0.001070544510810123
161 0.0 1 0.001063844792213331
162 0.0 1 0.0010603186245248253
163 0.0 1 0.001053266289147814
164 0.0 0 3.3498593040803826e-05
0 0.0 5 0.009854933461213022
1 0.0 5 0.011509763958315489
2 0.0 5 0.011842634188269585
3 0.0 5 0.010656078760462151
4 0.0 5 0.009805214496793724
5 0.0 5 0.009918051862882749
6 0.0 5 0.009597875836561798
7 0.0 5 0.009936740551665935
8 0.0 5 0.009831660754457516
9 0.0 5 0.010165236217972051
10 0.0 5 0.010412773189841573
11 0.0 5 0.009441313991146671
12 0.0 5 0.00950654809344087
13 0.0 5 0.009378548206257165
14 0.0 5 0.009592233968305663
15 0.0 5 0.009390184559606496
16 0.0 5 0.009299914666769382
17 0.0 5 0.009559440608768455
18 0.0 5 0.00949596959031851
19 0.0 4 0.008376058731869307
20 0.0 3 0.00574624286832659
21 0.0 3 0.006755784678091459
22 0.0 3 0.00549623757910922
23 0.0 3 0.006257889800224348
24 0.0 3 0.0054683808543245505
25 0.0 3 0.005593559807323345
26 0.0 3 0.0071704619984984674
27 0.0 3 0.005826639491658625
28 0.0 3 0.005841449395973086
29 0.0 3 0.006072413379683894
30 0.0 3 0.0054623863692313535
31 0.0 3 0.00538410544652379
32 0.0 3 0.005777273144019546
33 0.0 3 0.005625647933356959
34 0.0 3 0.0053513120869865816
35 0.0 3 0.00528466751762835
36 0.0 3 0.005337207416232559
37 0.0 3 0.005347785919298076
38 0.0 2 0.005399973201122066
39 0.0 2 0.005209207529048854
40 0.0 2 0.005180645570760589
41 0.0 2 0.005127753055376161
42 0.0 2 0.005104127731897279
43 0.0 2 0.005200744726607809
44 0.0 2 0.005153494079536358
45 0.0 2 0.00532451321254257
46 0.0 2 0.005302650972907941
47 0.0 2 0.005755410904328073
48 0.0 2 0.005543488226123827
49 0.0 2 0.0055590033639418834
50 0.0 2 0.005354133021171492
51 0.0 2 0.005213438930297798
52 0.0 2 0.005163719965878499
53 0.0 2 0.004791709274513778
54 0.0 2 0.004775136286411907
55 0.0 2 0.004785714789477424
56 0.0 2 0.004783246472072733
57 0.0 2 0.004751510962876182
58 0.0 2 0.004746926944847019
59 0.0 2 0.004806871795608458
60 0.0 2 0.004722243771027479
61 0.0 2 0.006184545512269324
62 0.0 2 0.004661241069982225
63 0.0 2 0.004634794812318432
64 0.0 2 0.004698618447491754
65 0.0 2 0.004607995937817577
66 0.0 2 0.004582960147274662
67 0.0 2 0.004678871908481597
68 0.0 2 0.004653483501044775
69 0.0 2 0.0045554560392702115
70 0.0 2 0.004526541464201728
71 0.0 2 0.004546640620048947
72 0.0 2 0.004655599201669247
73 0.0 2 0.004832965436492032
74 0.0 2 0.0046481942495120165
75 0.0 2 0.004579081362805937
76 0.0 2 0.004709902184117709
77 0.0 2 0.004554750805709773
78 0.0 2 0.004862937861901173
79 0.0 2 0.004534651649919397
80 0.0 2 0.004500095206537935
81 0.0 2 0.004502563523885783
82 0.0 2 0.004466949230277351
83 0.0 2 0.0030127576746963314
84 0.0 2 0.003001826554850595
85 0.0 2 0.0030381460820763095
86 0.0 2 0.0029827852493440332
87 0.0 1 0.0029249560992070656
88 0.0 1 0.002905562176863441
89 0.0 1 0.002893925823570953
90 0.0 1 0.002934124135208549
91 0.0 1 0.0029263665663279426
92 0.0 1 0.0028650112485024692
93 0.0 1 0.0028533748950962945
94 0.0 1 0.0028406806914063054
95 0.0 1 0.0028258707871486877
96 0.0 1 0.0030652975733005405
97 0.0 1 0.0028078873318690967
98 0.0 1 0.0028001297629884903
99 0.0 1 0.0027923721940510404
100 0.0 1 0.0027782675232970178
101 0.0 1 0.002897804608039678
102 0.0 1 0.0014196351121995576
103 0.0 1 0.001541287897453003
104 0.0 1 0.0014069409084527251
105 0.0 1 0.0014009464234163715
106 0.0 1 0.001394246704762736
107 0.0 1 0.0013893100700670402
108 0.0 1 0.001449960154332075
109 0.0 1 0.001576196957614684
110 0.0 1 0.0013797894172853375
