a p ford tiempo
0 0.0 2 0.0003011347207628745
1 0.0 1 0.00013505222254472926
2 0.0 1 0.00013082082131532502
3 0.0 1 0.00023942678618027458
4 0.0 1 0.00019711277389511395
5 0.0 1 0.0002189750135759283
6 0.0 1 0.00020345987573833213
7 0.0 1 0.000204165109275678
8 0.0 1 0.00015479876160995332
9 0.0 1 0.00017736623482811353
10 0.0 1 0.004085417886134479
11 0.0 1 0.000398104332250071
12 0.0 1 0.0002722201457014961
13 0.0 1 0.0003698949907260385
14 0.0 1 0.00016537726468079939
14 0.0 1 0.00016714034852682857
15 0.0 1 0.00016608249821814525
16 0.0 1 0.00017137174975623282
17 0.0 1 0.0006403520525832818
18 0.0 1 0.00023872155264292871
19 0.0 1 0.00019217613912836384
20 0.0 1 0.0002383689358733676
21 0.0 1 0.0001999337080480501
22 0.0 1 0.00010049577917747854
23 0.0 0 4.196139551559952e-05
0 0.0 2 0.00044500236253242065
1 0.0 2 0.0005331565547930239
2 0.0 2 0.0004506442308365166
3 0.0 2 0.00043054507500173145
4 0.0 2 0.00032264434367412775
5 0.0 1 0.00029372976861274935
6 0.0 1 0.00013611007284985988
7 0.0 1 0.00012905773746929583
8 0.0 1 0.00011777400085932754
9 0.0 1 0.00011742138409154279
9 0.0 1 0.0001202423182427026
10 0.0 1 0.00012835250393194997
11 0.0 1 0.0001079007313276037
12 0.0 1 0.00010895858163273431
13 0.0 1 0.00010472718040510642
14 0.0 1 9.203297672044641e-05
15 0.0 1 0.000139988857309703
16 0.0 1 7.687045565241135e-05
16 0.0 1 7.440213826725994e-05
17 0.0 1 8.427540780076015e-05
18 0.0 1 7.863353949666418e-05
19 0.0 1 0.00011107428224832461
20 0.0 1 0.00013082082131532502
21 0.0 1 0.00010225886302173137
22 0.0 0 2.820934152225618e-05
0 0.0 2 0.0004538177817590139
1 0.0 2 0.0004365395600753885
2 0.0 2 0.00043371862592245236
3 0.0 2 0.00042067180546823124
4 0.0 2 0.0004104459191669463
5 0.0 2 0.00045275993145033055
6 0.0 1 0.00019852324097158203
7 0.0 1 0.00020028632481761122
8 0.0 1 0.0002048703428148002
9 0.0 1 0.0001949970732813
10 0.0 1 0.0001918235223605791
11 0.0 1 0.00017630838452120656
12 0.0 1 0.00025071052279024286
13 0.0 0 5.571344950894286e-05
0 0.0 2 0.00028844051707643814
1 0.0 2 0.000676671579793009
2 0.0 2 0.000877663138147966
3 0.0 2 0.00029408238538231046
4 0.0 1 0.00014245717469307806
5 0.0 1 0.00013117343808310977
6 0.0 1 0.00013011558777797916
7 0.0 1 0.00014104670761838634
8 0.0 1 0.00012553156978079016
9 0.0 1 0.00013469960577516815
10 0.0 1 0.00013082082131354866
11 0.0 1 0.00010120101271660076
12 0.0 1 0.00016502464791301463
12 0.0 1 0.00017137174975445646
13 0.0 1 0.0001657298814503605
14 0.0 1 0.00011177951578744683
15 0.0 1 9.238559348823117e-05
16 0.0 1 9.062250964397833e-05
17 0.0 1 8.815419226060328e-05
18 0.0 1 8.39227910329754e-05
