a p ford tiempo
0 0.0 7 0.0003430961162788071
1 0.0 6 0.0003081870561435496
2 0.0 6 0.00029619808599623543
3 0.0 6 0.0002634047264751249
4 0.0 5 0.00024577388802293765
5 0.0 5 0.00023907416941115756
6 0.0 5 0.00024330557063967362
7 0.0 5 0.00023061136695412543
8 0.0 5 0.00022955351664699641
9 0.0 4 0.0001812450192881787
10 0.0 4 0.00017736623482866865
11 0.0 4 0.00018265548636431372
12 0.0 4 0.00017101913298589455
13 0.0 3 0.00013152605485300395
14 0.0 3 0.0001276472703936049
15 0.0 3 0.00012412110270321186
16 0.0 3 0.00012235801885795983
17 0.0 2 9.485391087260542e-05
18 0.0 2 8.462802457032126e-05
19 0.0 2 8.215970718705723e-05
20 0.0 2 7.898615626555916e-05
21 0.0 1 5.007158120406974e-05
22 0.0 0 2.1157006142580315e-05
0 0.0 7 0.0003282862119791119
1 0.0 6 0.0002827986487724532
2 0.0 6 0.00026622566062750597
3 0.0 6 0.00026552042708938295
4 0.0 5 0.00023977940294928057
5 0.0 4 0.0002277904328018554
6 0.0 3 0.00017066651621688855
7 0.0 3 0.00014034147407904207
8 0.0 3 0.00012094755178171379
9 0.0 3 0.00011812661762944376
10 0.0 3 0.00011777400086032674
11 0.0 3 0.00013469960577450202
12 0.0 2 0.00010296409656063155
13 0.0 2 8.956465933696034e-05
14 0.0 2 0.00011142689901755265
15 0.0 2 0.00011847923439856078
16 0.0 2 0.00011072166547954065
17 0.0 2 0.00011213213255567567
18 0.0 2 0.00010225886302250853
19 0.0 1 5.95922339683419e-05
20 0.0 1 5.6418683046954854e-05
21 0.0 1 5.1129431511309775e-05
22 0.0 0 6.347101842774094e-06
0 0.0 7 0.00041397208685656217
1 0.0 6 0.0013568693272777432
2 0.0 6 0.0006449360705798046
3 0.0 5 0.0002570576246323508
4 0.0 5 0.0004220822725445883
5 0.0 4 0.0004555808656035998
6 0.0 4 0.0009298504199666269
7 0.0 4 0.00020522295958302905
8 0.0 4 0.00019217613912847487
9 0.0 3 0.0002493000557134417
10 0.0 3 0.00020733866019728708
11 0.0 3 0.00022532211541848035
12 0.0 3 0.0002203854806519523
13 0.0 2 0.00017207698329302357
14 0.0 2 0.00015127259391944925
15 0.0 2 0.00016572988145024947
16 0.0 2 0.00011671615055319773
17 0.0 2 0.000134346989005385
18 0.0 2 0.00013928362377202408
19 0.0 2 0.00014351502500054014
20 0.0 2 0.00021968024711382927
21 0.0 2 0.00010084839594626249
22 0.0 2 0.00010507979717488958
23 0.0 1 5.6418683046954854e-05
24 0.0 1 5.39503656635798e-05
25 0.0 1 4.407709613041266e-05
26 0.0 0 2.750410798535441e-05
0 0.0 7 0.0005804072018449347
1 0.0 6 0.0004947213269673734
2 0.0 6 0.000469332919596388
3 0.0 6 0.0004626332009844969
4 0.0 6 0.0012246380388866163
5 0.0 6 0.0017711940309033114
6 0.0 6 0.0010289357320676373
7 0.0 6 0.0006794925139459451
8 0.0 6 0.0008357017426321445
9 0.0 6 0.0003021925710698925
10 0.0 5 0.0002207380974209583
11 0.0 5 0.0003307545293623759
12 0.0 5 0.00028456173261781625
13 0.0 5 0.00018336071990243674
14 0.0 4 0.00017701361805966265
15 0.0 4 0.0002820934152344412
16 0.0 4 0.0002538840737109638
17 0.0 3 0.0001734874503692696
18 0.0 3 0.00019252875589759189
19 0.0 3 0.0002355480017207645
20 0.0 3 0.00015797231253134036
21 0.0 3 0.00015303567776470128
22 0.0 3 0.00014563072561468715
23 0.0 2 0.00011318998286280468
24 0.0 2 0.0001674929652955015
25 0.0 2 0.0001061376474820186
26 0.0 1 4.6192796744670694e-05
27 0.0 0 1.1636353378419173e-05
0 0.0 7 0.0005299830038717479
1 0.0 7 0.0005275146864884839
2 0.0 7 0.000604737758908791
3 0.0 7 0.0005878121539948378
4 0.0 6 0.0004273715240802334
5 0.0 5 0.00032440742751971285
6 0.0 5 0.00022003286388283527
7 0.0 5 0.00021333314527105518
8 0.0 4 0.00016749296529539048
9 0.0 4 0.0002337849178756235
10 0.0 4 0.0003487379845835692
11 0.0 4 0.0002538840737110748
12 0.0 4 0.0002796250978511772
13 0.0 4 0.00022567473218748635
14 0.0 4 0.00022532211541848035
15 0.0 4 0.0002549419240180928
16 0.0 4 0.000201696791892636
17 0.0 4 0.00020592819312115207
18 0.0 4 0.0001748979174452936
19 0.0 4 0.00019076567205233985
20 0.0 3 0.0002344901514136355
21 0.0 3 0.00013258390516013296
22 0.0 3 0.00012130016855083081
23 0.0 2 8.709634195358529e-05
24 0.0 2 7.616522211328913e-05
25 0.0 2 7.722307242041815e-05
26 0.0 2 6.946550350150904e-05
27 0.0 1 0.00010754811455815361
28 0.0 1 4.1256161978031614e-05
29 0.0 1 2.8914575061489423e-05
29 0.0 1 2.9619808599723463e-05
30 0.0 1 1.97465390664453e-05
30 0.0 1 1.8336071990310288e-05
31 0.0 1 1.763083845218727e-05
32 0.0 0 8.110185688026128e-06
0 0.0 7 0.0009749853664041686
1 0.0 6 0.0006925393344004993
2 0.0 6 0.0003028978046080155
3 0.0 6 0.00037306854164753656
4 0.0 5 0.0002757463133916671
5 0.0 5 0.0009467760248806911
6 0.0 4 0.0005000105785031295
