a p ford tiempo
0 0.0 2 0.0015776074246787175
1 0.0 2 0.001553629484362773
2 0.0 2 0.0016037010656191342
3 0.0 2 0.0015307093944443295
4 0.0 2 0.001520130891321969
5 0.0 2 0.0015074366876888234
6 0.0 2 0.0014958003342826487
7 0.0 2 0.001484163980876474
8 0.0 2 0.0014753485616552098
9 0.0 2 0.001464417441866317
10 0.0 2 0.0014570124897090864
11 0.0 2 0.0014443182859622539
12 0.0 2 0.0015137837895053963
13 0.0 2 0.0014915689330337045
14 0.0 1 0.002115700614240268
15 0.0 1 0.001968306804826625
16 0.0 1 0.002193628920224455
17 0.0 1 0.0018664005585833365
18 0.0 1 0.001794819354415722
19 0.0 0 0.000982390318540638
0 0.0 2 0.002646388851701431
1 0.0 2 0.002679887444742235
2 0.0 2 0.0022690889087471078
3 0.0 2 0.001605464149463387
4 0.0 2 0.002319865723507064
5 0.0 2 0.001815976360546756
6 0.0 1 0.0015797231253031896
7 0.0 1 0.0015077893044690427
8 0.0 1 0.0015352934124166495
9 0.0 1 0.0015021474360992215
10 0.0 1 0.0007591839037104364
11 0.0 1 0.0007524841851136443
12 0.0 1 0.0007450792329564138
13 0.0 1 0.0007482527839215436
14 0.0 1 0.0007447266162330379
15 0.0 1 0.0007538946521776779
16 0.0 1 0.0007207486759170934
17 0.0 1 0.0007119332566958292
18 0.0 1 0.0007701150236130161
19 0.0 1 0.0007902141794033923
20 0.0 1 0.0007450792329564138
21 0.0 1 0.0007842196943670388
22 0.0 0 0.001063844792213331
0 0.0 2 0.0016407258263484437
1 0.0 2 0.001607579850087859
2 0.0 2 0.0015899490115884873
3 0.0 2 0.0015786652750193753
4 0.0 2 0.001668229934352894
5 0.0 2 0.0015589187359523748
6 0.0 2 0.0015437562148576944
7 0.0 2 0.0015300041608270476
8 0.0 2 0.0015225992087266604
9 0.0 2 0.0015275358434791997
10 0.0 2 0.0014996791187513736
11 0.0 2 0.0014876901485649796
12 0.0 2 0.0014764064119958675
13 0.0 2 0.0014640648250860977
14 0.0 2 0.0014746433280947713
15 0.0 2 0.0014453761363029116
16 0.0 2 0.0014340923997337995
17 0.0 2 0.0014231612798880633
18 0.0 2 0.0014125827767657029
19 0.0 2 0.0014005938066361523
20 0.0 2 0.0014238665133916584
21 0.0 2 0.0014598334238371535
22 0.0 2 0.0013766158663202077
23 0.0 2 0.0013378280217466454
24 0.0 2 0.0013533431595647016
24 0.0 2 0.0014481970704878222
25 0.0 2 0.0013357123211221733
26 0.0 2 0.001306797746110533
27 0.0 1 0.0006604512084322778
28 0.0 1 0.0006442308369969396
29 0.0 1 0.000637531118456991
29 0.0 1 0.0006378837351803668
30 0.0 1 0.0005948644893578603
31 0.0 1 0.0005885173875412875
32 0.0 1 0.000585343836633001
33 0.0 1 0.0005807598186038376
34 0.0 1 0.0005751179503477033
35 0.0 1 0.0005694760819778821
36 0.0 1 0.0005634815969415286
37 0.0 1 0.0005497295429108817
38 0.0 1 0.0005458507584990002
39 0.0 1 0.0005483190758468481
40 0.0 1 0.0005405615069662417
41 0.0 1 0.0005268094529355949
42 0.0 1 0.0005102364647768809
43 0.0 1 0.0005060050635847801
44 0.0 1 0.0005052998300243416
45 0.0 1 0.0004375974103822955
46 0.0 1 0.00040868283531381167
47 0.0 1 0.00040268835022061467
48 0.0 1 0.0003914046136515026
49 0.0 1 0.0003702476075204686
50 0.0 1 0.00035861125411429384
51 0.0 1 0.0003550850864257882
52 0.0 1 0.000350853685176844
53 0.0 0 4.760326385166991e-05
0 0.0 2 0.0016756348865101245
1 0.0 2 0.0016601197486920682
2 0.0 2 0.0016396679760646293
3 0.0 2 0.0016280316226584546
4 0.0 2 0.0016481307785056742
5 0.0 2 0.0016216845208418817
6 0.0 2 0.0015903016283687066
7 0.0 2 0.001580428358863628
8 0.0 1 0.0007884510955591395
9 0.0 1 0.0007835144608066003
10 0.0 1 0.0007768147422098082
11 0.0 1 0.0007711728738968304
12 0.0 1 0.0007655310055838527
13 0.0 1 0.0007595365204906557
14 0.0 1 0.0007535420354543021
15 0.0 1 0.0007482527838647002
16 0.0 1 0.0007426109156085658
17 0.0 1 0.0007366164305153688
18 0.0 1 0.0007320324125430488
19 0.0 1 0.000724274843605599
20 0.0 1 0.0007203960591937175
21 0.0 1 0.000784572311147258
22 0.0 1 0.000701707370353688
23 0.0 1 0.0006935971846928624
24 0.0 1 0.0006893657835007616
25 0.0 1 0.0006830186816273454
26 0.0 1 0.0006756137294701148
27 0.0 1 0.0006671509270290699
28 0.0 1 0.000660803825212497
29 0.0 0 2.2214856471691746e-05
0 0.0 2 0.0016442519940369493
1 0.0 2 0.0016248580717501682
2 0.0 2 0.0016163952693091233
3 0.0 2 0.0016393153592275667
4 0.0 2 0.0015920647122698028
5 0.0 2 0.001580428358863628
6 0.0 2 0.0015666763048329813
7 0.0 2 0.0015560978018243077
8 0.0 2 0.0015455192987019473
9 0.0 2 0.001532472478231739
10 0.0 2 0.0015225992087266604
11 0.0 2 0.0015113154721575484
12 0.0 2 0.0014996791187513736
13 0.0 2 0.0015211887416626269
14 0.0 2 0.0014848692144369124
15 0.0 2 0.001421398195986967
16 0.0 1 0.0007105227895749522
17 0.0 1 0.0007024126039709699
18 0.0 1 0.0006992390530058401
19 0.0 1 0.0006918341008486095
20 0.0 1 0.000687955316436728
21 0.0 1 0.0006851343822518174
22 0.0 1 0.0006816082145633118
23 0.0 1 0.0006749084959096763
